     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:00:02     0/1000    train        0/140         0.0%      1.00E-03    0.24006   5.38068   0.24544
Saving checkpoint ...... 
DONE
 00:00:04     0/1000     val         0/19          0.0%      1.00E-03    0.11162   0.31104   0.11193
Visualizing ...
Generating html visualization ...
DONE
 00:04:13     5/1000     val        11/19          0.6%      1.00E-03    0.01460   0.00652   0.01460
 00:04:15     5/1000    train       90/140         0.6%      1.00E-03    0.01219   0.00479   0.01219
 00:04:17     5/1000     val        13/19          0.6%      1.00E-03    0.01456   0.00918   0.01457
 00:04:17     5/1000    train      100/140         0.6%      1.00E-03    0.01189   0.01117   0.01190
 00:04:20     5/1000    train      110/140         0.6%      1.00E-03    0.01158   0.00299   0.01158
 00:04:21     5/1000     val        15/19          0.6%      1.00E-03    0.01379   0.01390   0.01381
 00:04:23     5/1000    train      120/140         0.6%      1.00E-03    0.01232   0.00125   0.01232
 00:04:25     5/1000     val        17/19          0.6%      1.00E-03    0.01073   0.00343   0.01073
 00:04:25     5/1000    train      130/140         0.6%      1.00E-03    0.01236   0.00132   0.01236
training run exp-model_v1-fc-cd-vae-1e-3
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:04:29     6/1000    train        0/140         0.6%      1.00E-03    0.01553   0.00244   0.01553
 00:04:30     6/1000     val         0/19          0.6%      1.00E-03    0.01269   0.00353   0.01270
 00:04:32     6/1000    train       10/140         0.6%      1.00E-03    0.01611   0.00334   0.01611
 00:04:34     6/1000     val         2/19          0.6%      1.00E-03    0.01341   0.00976   0.01342
 00:04:35     6/1000    train       20/140         0.6%      1.00E-03    0.01519   0.00491   0.01520
 00:04:38     6/1000     val         4/19          0.6%      1.00E-03    0.01300   0.00639   0.01301
 00:04:38     6/1000    train       30/140         0.6%      1.00E-03    0.01139   0.00365   0.01140
 00:04:41     6/1000    train       40/140         0.6%      1.00E-03    0.01302   0.00312   0.01302
 00:04:43     6/1000     val         6/19          0.6%      1.00E-03    0.01146   0.00513   0.01147
 00:04:44     6/1000    train       50/140         0.6%      1.00E-03    0.01294   0.00321   0.01294
 00:04:48     6/1000     val         8/19          0.6%      1.00E-03    0.01205   0.00631   0.01206
 00:04:48     6/1000    train       60/140         0.6%      1.00E-03    0.01900   0.00214   0.01900
 00:04:50     6/1000    train       70/140         0.7%      1.00E-03    0.01197   0.00342   0.01198
 00:04:53     6/1000     val        10/19          0.7%      1.00E-03    0.01191   0.00755   0.01192
 00:04:53     6/1000    train       80/140         0.7%      1.00E-03    0.01469   0.03166   0.01473
 00:04:57     6/1000     val        12/19          0.7%      1.00E-03    0.01529   0.03273   0.01533
 00:04:57     6/1000    train       90/140         0.7%      1.00E-03    0.01403   0.00387   0.01403
 00:05:00     6/1000    train      100/140         0.7%      1.00E-03    0.01399   0.00171   0.01399
 00:05:02     6/1000     val        14/19          0.7%      1.00E-03    0.01349   0.00491   0.01350
 00:05:03     6/1000    train      110/140         0.7%      1.00E-03    0.01324   0.00369   0.01324
 00:05:06     6/1000     val        16/19          0.7%      1.00E-03    0.01296   0.00774   0.01296
 00:05:06     6/1000    train      120/140         0.7%      1.00E-03    0.01325   0.00653   0.01326
 00:05:09     6/1000    train      130/140         0.7%      1.00E-03    0.01584   0.01002   0.01585
 00:05:11     6/1000     val        18/19          0.7%      1.00E-03    0.01237   0.01903   0.01239
training run exp-model_v1-fc-cd-vae-1e-3
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:05:13     7/1000    train        0/140         0.7%      1.00E-03    0.01431   0.00156   0.01431
 00:05:16     7/1000     val         1/19          0.7%      1.00E-03    0.01343   0.00253   0.01344
 00:05:16     7/1000    train       10/140         0.7%      1.00E-03    0.01365   0.00085   0.01365
 00:05:19     7/1000    train       20/140         0.7%      1.00E-03    0.01411   0.00139   0.01411
 00:05:20     7/1000     val         3/19          0.7%      1.00E-03    0.01365   0.00211   0.01365
 00:05:22     7/1000    train       30/140         0.7%      1.00E-03    0.01340   0.00074   0.01340
 00:05:24     7/1000     val         5/19          0.7%      1.00E-03    0.01384   0.00159   0.01384
 00:05:24     7/1000    train       40/140         0.7%      1.00E-03    0.01364   0.00079   0.01364
 00:05:27     7/1000    train       50/140         0.7%      1.00E-03    0.01237   0.00119   0.01237
 00:05:28     7/1000     val         7/19          0.7%      1.00E-03    0.01394   0.00143   0.01394
 00:05:30     7/1000    train       60/140         0.7%      1.00E-03    0.01351   0.00074   0.01352
 00:05:32     7/1000     val         9/19          0.8%      1.00E-03    0.01221   0.00175   0.01221
 00:05:33     7/1000    train       70/140         0.8%      1.00E-03    0.01465   0.00052   0.01465
 00:05:35     7/1000    train       80/140         0.8%      1.00E-03    0.01289   0.00075   0.01289
 00:05:37     7/1000     val        11/19          0.8%      1.00E-03    0.01452   0.00151   0.01452
 00:05:38     7/1000    train       90/140         0.8%      1.00E-03    0.01404   0.00054   0.01404
 00:05:40     7/1000     val        13/19          0.8%      1.00E-03    0.01384   0.00083   0.01384
 00:05:40     7/1000    train      100/140         0.8%      1.00E-03    0.01333   0.00055   0.01333
 00:05:43     7/1000    train      110/140         0.8%      1.00E-03    0.01294   0.00044   0.01294
 00:05:45     7/1000     val        15/19          0.8%      1.00E-03    0.01416   0.00106   0.01416
 00:05:47     7/1000    train      120/140         0.8%      1.00E-03    0.01215   0.00088   0.01215
 00:05:49     7/1000     val        17/19          0.8%      1.00E-03    0.01022   0.00129   0.01022
 00:05:49     7/1000    train      130/140         0.8%      1.00E-03    0.01173   0.00083   0.01173
training run exp-model_v1-fc-cd-vae-1e-3
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:05:53     8/1000    train        0/140         0.8%      1.00E-03    0.01167   0.00052   0.01167
 00:05:55     8/1000     val         0/19          0.8%      1.00E-03    0.01236   0.00160   0.01236
 00:05:57     8/1000    train       10/140         0.8%      1.00E-03    0.01351   0.00076   0.01351
 00:05:59     8/1000     val         2/19          0.8%      1.00E-03    0.01333   0.00202   0.01334
 00:05:59     8/1000    train       20/140         0.8%      1.00E-03    0.01185   0.00107   0.01185
 00:06:03     8/1000     val         4/19          0.8%      1.00E-03    0.01272   0.00513   0.01272
