     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:00:01     0/1000    train        0/140         0.0%      1.00E-03    0.24006   5.38068   0.24060
Saving checkpoint ...... 
DONE
 00:00:04     0/1000     val         0/19          0.0%      1.00E-03    0.11131   0.36914   0.11135
Visualizing ...
Generating html visualization ...
DONE
 00:02:28     3/1000     val         9/19          0.4%      1.00E-03    0.01078   3.30737   0.01112
 00:02:29     3/1000    train       70/140         0.4%      1.00E-03    0.01133   6.23503   0.01195
 00:02:31     3/1000    train       80/140         0.4%      1.00E-03    0.00987   5.16255   0.01039
 00:02:32     3/1000     val        11/19          0.4%      1.00E-03    0.01232   8.23648   0.01315
 00:02:35     3/1000    train       90/140         0.4%      1.00E-03    0.00931   5.98101   0.00991
 00:02:36     3/1000     val        13/19          0.4%      1.00E-03    0.01163   5.70837   0.01220
 00:02:36     3/1000    train      100/140         0.4%      1.00E-03    0.01070   5.70479   0.01127
 00:02:39     3/1000    train      110/140         0.4%      1.00E-03    0.01145   4.99905   0.01195
 00:02:40     3/1000     val        15/19          0.4%      1.00E-03    0.01040   8.44134   0.01124
 00:02:42     3/1000    train      120/140         0.4%      1.00E-03    0.01251   5.53336   0.01306
 00:02:43     3/1000     val        17/19          0.4%      1.00E-03    0.00997   1.43923   0.01011
 00:02:44     3/1000    train      130/140         0.4%      1.00E-03    0.01200   5.14191   0.01251
training run exp-model_v1-fc-cd-vae
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:02:47     4/1000    train        0/140         0.4%      1.00E-03    0.01121   6.26543   0.01184
 00:02:49     4/1000     val         0/19          0.4%      1.00E-03    0.01038   7.33283   0.01111
 00:02:51     4/1000    train       10/140         0.4%      1.00E-03    0.00950   4.86268   0.00999
 00:02:53     4/1000     val         2/19          0.4%      1.00E-03    0.01063   4.94604   0.01112
 00:02:53     4/1000    train       20/140         0.4%      1.00E-03    0.00878   5.10281   0.00929
 00:02:56     4/1000     val         4/19          0.4%      1.00E-03    0.01076   4.92916   0.01125
 00:02:56     4/1000    train       30/140         0.4%      1.00E-03    0.01218   6.42697   0.01282
 00:02:58     4/1000    train       40/140         0.4%      1.00E-03    0.00968   5.91152   0.01027
 00:03:00     4/1000     val         6/19          0.4%      1.00E-03    0.00979   9.27855   0.01071
 00:03:00     4/1000    train       50/140         0.4%      1.00E-03    0.00987   6.96150   0.01057
 00:03:04     4/1000     val         8/19          0.4%      1.00E-03    0.01068   2.19887   0.01090
 00:03:04     4/1000    train       60/140         0.4%      1.00E-03    0.01134   5.26150   0.01187
 00:03:06     4/1000    train       70/140         0.5%      1.00E-03    0.01107   5.07586   0.01158
 00:03:08     4/1000     val        10/19          0.5%      1.00E-03    0.01257   2.88888   0.01286
 00:03:08     4/1000    train       80/140         0.5%      1.00E-03    0.01072   5.32521   0.01125
 00:03:12     4/1000     val        12/19          0.5%      1.00E-03    0.01284  10.11838   0.01386
 00:03:12     4/1000    train       90/140         0.5%      1.00E-03    0.01157   5.07783   0.01208
 00:03:14     4/1000    train      100/140         0.5%      1.00E-03    0.01236   5.77397   0.01294
 00:03:16     4/1000     val        14/19          0.5%      1.00E-03    0.01060   6.99258   0.01130
 00:03:16     4/1000    train      110/140         0.5%      1.00E-03    0.01181   5.27148   0.01234
 00:03:20     4/1000     val        16/19          0.5%      1.00E-03    0.01253   1.66287   0.01270
 00:03:20     4/1000    train      120/140         0.5%      1.00E-03    0.01104   6.55748   0.01170
 00:03:22     4/1000    train      130/140         0.5%      1.00E-03    0.01106   5.78120   0.01163
 00:03:24     4/1000     val        18/19          0.5%      1.00E-03    0.03054  32.39804   0.03378
training run exp-model_v1-fc-cd-vae
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:03:26     5/1000    train        0/140         0.5%      1.00E-03    0.01062   5.76477   0.01120
 00:03:28     5/1000     val         1/19          0.5%      1.00E-03    0.01150   5.05232   0.01200
 00:03:28     5/1000    train       10/140         0.5%      1.00E-03    0.01166   5.80522   0.01224
 00:03:31     5/1000    train       20/140         0.5%      1.00E-03    0.01172   4.55283   0.01218
 00:03:32     5/1000     val         3/19          0.5%      1.00E-03    0.01057   4.44744   0.01101
 00:03:34     5/1000    train       30/140         0.5%      1.00E-03    0.00916   5.44240   0.00970
 00:03:36     5/1000     val         5/19          0.5%      1.00E-03    0.01289  12.30024   0.01412
 00:03:36     5/1000    train       40/140         0.5%      1.00E-03    0.01195   5.95288   0.01255
 00:03:39     5/1000    train       50/140         0.5%      1.00E-03    0.00983   6.06877   0.01043
 00:03:40     5/1000     val         7/19          0.5%      1.00E-03    0.01100   5.30260   0.01153
 00:03:42     5/1000    train       60/140         0.5%      1.00E-03    0.01049   5.40706   0.01103
 00:03:44     5/1000     val         9/19          0.6%      1.00E-03    0.01294   3.09706   0.01325
 00:03:44     5/1000    train       70/140         0.6%      1.00E-03    0.01000   5.33564   0.01054
 00:03:47     5/1000    train       80/140         0.6%      1.00E-03    0.00863   5.47928   0.00918
 00:03:48     5/1000     val        11/19          0.6%      1.00E-03    0.01127  14.48961   0.01272
 00:03:50     5/1000    train       90/140         0.6%      1.00E-03    0.00913   4.72139   0.00960
 00:03:52     5/1000     val        13/19          0.6%      1.00E-03    0.01535  13.00963   0.01665
 00:03:52     5/1000    train      100/140         0.6%      1.00E-03    0.00997   5.75910   0.01055
 00:03:54     5/1000    train      110/140         0.6%      1.00E-03    0.01066   6.18438   0.01128
 00:03:56     5/1000     val        15/19          0.6%      1.00E-03    0.01211  11.70682   0.01328
 00:03:58     5/1000    train      120/140         0.6%      1.00E-03    0.00927   5.94261   0.00987
 00:04:00     5/1000     val        17/19          0.6%      1.00E-03    0.00864   2.67893   0.00891
 00:04:00     5/1000    train      130/140         0.6%      1.00E-03    0.01005   5.35046   0.01059
training run exp-model_v1-fc-cd-vae
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:04:04     6/1000    train        0/140         0.6%      1.00E-03    0.01293   4.87554   0.01341
 00:04:05     6/1000     val         0/19          0.6%      1.00E-03    0.01093   1.97693   0.01112
 00:04:06     6/1000    train       10/140         0.6%      1.00E-03    0.01140   6.76546   0.01208
 00:04:08     6/1000     val         2/19          0.6%      1.00E-03    0.01130   6.99457   0.01200
 00:04:09     6/1000    train       20/140         0.6%      1.00E-03    0.01233   5.32286   0.01286
 00:04:12     6/1000     val         4/19          0.6%      1.00E-03    0.01076   5.08655   0.01126
 00:04:12     6/1000    train       30/140         0.6%      1.00E-03    0.00795   5.60474   0.00851
 00:04:15     6/1000    train       40/140         0.6%      1.00E-03    0.00904   5.22567   0.00956
